講義名,開講期間,曜日・時限,講義室,URL
サプライ・チェーン・マネジメント　第１ターム,第1,金2,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04119_ja_JP.html
計測工学　火２・金４の週２回授業,第1,金2,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71110_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S01　第1ターム,第1,金2,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12140_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S02　第1ターム,第1,金2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12141_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S03　第1ターム,第1,金2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12142_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S04　第1ターム,第1,金2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12143_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S05　第1ターム,第1,金2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12144_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 理S06+再履生　第1ターム,第1,金2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12145_ja_JP.html
AL1（グローバル・スタディーズ基礎Ⅱ）　第１ターム 金２,第1,金2,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ610031_ja_JP.html
考古学概説　第１ターム 金１・金２,第1,金2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ103011_ja_JP.html
東洋史概説　第１ターム 金１・金２,第1,金2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ103211_ja_JP.html
教育臨床学入門　第１ターム 金１・金２,第1,金2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ207211_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　火２・金２,第1,金2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11404_ja_JP.html
日本語E(読解)a,第1,金2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200111_ja_JP.html
Economic Development in Asia,第1,金2,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE224370_ja_JP.html
考古学概説,第1,金3,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31111_ja_JP.html
AL1（課題解決型プログラムｄ）　第１ターム 金３・金４（隔週）,第1,金3,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ690081_ja_JP.html
考古学概説,第1,金4,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31111_ja_JP.html
Seminar Ⅰ　第１ターム、GT生専用,第1,金4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A76103_ja_JP.html
Seminar Ⅳ　第１ターム、GT生専用,第1,金4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A76115_ja_JP.html
労働経済論　第１ターム,第1,金4,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02110_ja_JP.html
計測工学　火２・金４の週２回授業,第1,金4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71110_ja_JP.html
AL1（課題解決型プログラムｄ）　第１ターム 金３・金４（隔週）,第1,金4,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ690081_ja_JP.html
労働経済論　第１ターム,第1,金5,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02110_ja_JP.html
初等社会科概説　第2ターム、小心・特・副2年以上,第2,月1,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12022_ja_JP.html
ICT活用の理論と実践　第2ターム、初回授業は金1、小（英・理）・中（英・理）,第2,月1,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44061_ja_JP.html
ICT活用の理論と実践　他学部用、第2ターム、週2コマ、初回授業は金1,第2,月1,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P44069_ja_JP.html
特殊講義「現代数学入門」　第２ターム,第2,月1,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A13102_ja_JP.html
建設プロジェクト　月１・水１の週２回授業,第2,月1,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76340_ja_JP.html
機械力学　月１・金１の週２回授業,第2,月1,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71090_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S01　第2ターム,第2,月1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12151_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S02　第2ターム,第2,月1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12152_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S03　第2ターム,第2,月1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12153_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S04　第2ターム,第2,月1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12154_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S05　第2ターム,第2,月1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12155_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教育S06+再履生　第2ターム,第2,月1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12156_ja_JP.html
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　月１・水１,第2,月1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11451_ja_JP.html
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　月１・水１,第2,月1,ERC（英語なんでも相談室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11551_ja_JP.html
日本語Ⅰa(読解),第2,月1,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28113_ja_JP.html
芸術概説　第２ターム 月１・水１,第2,月1,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ102112_ja_JP.html
AL2（「多様な性」と出会う）　第２ターム 月１・水１,第2,月1,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ600021_ja_JP.html
日本語C(文法) b,第2,月1,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200205_ja_JP.html
日本語D(文法) b,第2,月1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200208_ja_JP.html
日本語B(総合) b,第2,月1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200202_ja_JP.html
日本語A(総合) b,第2,月1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200201_ja_JP.html
教科指導の課題探求　共通科目、第２ターム,第2,月1,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10026_ja_JP.html
教育経営の課題探求　共通科目、第２ターム,第2,月1,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10046_ja_JP.html
Japanese Language-D(Summer Program),第2,月1,"全学講義棟 2-103, 全学講義棟 3-203",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0004_ja_JP.html
Japanese Language-B(Summer Program),第2,月1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0003_ja_JP.html
Japanese Language-A(Summer Program),第2,月1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0005_ja_JP.html
初等理科概説　第2ターム、小（算・も・家）・特・副2年以上,第2,月2,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y16011_ja_JP.html
特殊講義「現代数学入門」　第２ターム,第2,月2,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A13102_ja_JP.html
微分積分学基礎Ⅱ　月２・水２の週２回授業,第2,月2,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_RT1002-1_ja_JP.html
化学基礎　月２・水２の週２回授業,第2,月2,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_RT3001-1_ja_JP.html
伝熱工学　月２・水２の週２回授業,第2,月2,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71230_ja_JP.html
計画数理,第2,月2,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76290_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教養S01　第2ターム,第2,月2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12157_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教養S02　第2ターム,第2,月2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12158_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教養S03　第2ターム,第2,月2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12159_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 教養S04　第2ターム,第2,月2,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12160_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 経済S01　第2ターム,第2,月2,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12161_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 経済S02　第2ターム,第2,月2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12162_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 経済S03+再履生　第2ターム,第2,月2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12163_ja_JP.html
AL1（日本古典文学研究基礎）　第２ターム 月２,第2,月2,全学講義棟 2-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ610101_ja_JP.html
AL1（プログラミング入門）　第２ターム 月２,第2,月2,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ650012_ja_JP.html
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　月２・水２,第2,月2,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11552_ja_JP.html
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　月２・水２,第2,月2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11651_ja_JP.html
日本語Ⅰa(作文),第2,月2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28116_ja_JP.html
宗教学概説　第２ターム 月２・水２,第2,月2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ100111_ja_JP.html
アジア文学・文化概説　第２ターム 月２・水２,第2,月2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ106112_ja_JP.html
社会学概説　第２ターム 月２・水２,第2,月2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ205011_ja_JP.html
教養生物学　第２ターム 月２・水２,第2,月2,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ300511_ja_JP.html
工学と社会（電気電子物理工学系）　第２ターム 月２・水２,第2,月2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302211_ja_JP.html
ジェンダー論入門　第２ターム 月２・水２,第2,月2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500001_ja_JP.html
日本語C(文法) b,第2,月2,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200205_ja_JP.html
日本語C(読解) b,第2,月2,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200204_ja_JP.html
日本語D(読解) b,第2,月2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200207_ja_JP.html
日本語B(総合) b,第2,月2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200202_ja_JP.html
日本語A(総合) b,第2,月2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200201_ja_JP.html
教科指導の課題探求　共通科目、第２ターム,第2,月2,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10026_ja_JP.html
教育経営の課題探求　共通科目、第２ターム,第2,月2,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10046_ja_JP.html
Japanese Language-D(Summer Program),第2,月2,"全学講義棟 2-103, 全学講義棟 3-203",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0004_ja_JP.html
Japanese Language-B(Summer Program),第2,月2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0003_ja_JP.html
Japanese Language-A(Summer Program),第2,月2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0005_ja_JP.html
企業会計総論　第２ターム,第2,月3,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04101_ja_JP.html
基本情報技術概論Ⅱ　月３・水３の週２回授業,第2,月3,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73230_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F01　第2ターム,第2,月3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11151_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F02　第2ターム,第2,月3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11152_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F03　第2ターム,第2,月3,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11153_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F04　第2ターム,第2,月3,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11154_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F05　第2ターム,第2,月3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11155_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F06　第2ターム,第2,月3,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11156_ja_JP.html
英語Ⅰ(General English Skills 1b)　GES 教育F07+再履生　第2ターム,第2,月3,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11157_ja_JP.html
AL1（科学と教育）　第２ターム 月３,第2,月3,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ630041_ja_JP.html
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　月３・水３,第2,月3,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11452_ja_JP.html
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　月３・水３,第2,月3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11652_ja_JP.html
Research Topics in Media and Visual Communication Studies I,第2,月3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC14616_ja_JP.html
Japanese Language Class for Absolute Beginners,第2,月3,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0001_ja_JP.html
特別支援教育基礎論　第2ターム、教育実習と重なる場合履修不可,第2,月4,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36003_ja_JP.html
保育体育実践　「体つくり運動」と同時限、第2ターム、副2年以上(23年入学者～),第2,月4,総合体育館,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38026_ja_JP.html
特別活動論　第2ターム、小（教・心）・養・副,第2,月4,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44073_ja_JP.html
ICT活用の理論と実践　他学部用、第2ターム、週2コマ、初回授業は金1,第2,月4,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P44069_ja_JP.html
生産管理論　第２ターム,第2,月4,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04106_ja_JP.html
演習Ⅱ　第２ターム,第2,月4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07231_ja_JP.html
演習Ⅱ　第２ターム,第2,月4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07233_ja_JP.html
演習Ⅴ　第２ターム,第2,月4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07531_ja_JP.html
演習Ⅴ　第２ターム,第2,月4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07533_ja_JP.html
情報基礎　(機械）,第2,月4,"情報メディア端末室(3), 情報メディア端末室(4)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_TX67109_ja_JP.html
機械システムのモデリング　月４・水４の週２回授業,第2,月4,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71260_ja_JP.html
地盤環境工学　月４・水４の週２回授業,第2,月4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76080_ja_JP.html
英語Ⅰ(English for Specific Purposes 1b)　ESP 第2ターム　月４・水４,第2,月4,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11453_ja_JP.html
英語Ⅰ(Academic Communication Skills 1b)　ACS 第2ターム　月４・水４,第2,月4,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11553_ja_JP.html
Japanese Language Class for Absolute Beginners,第2,月4,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0001_ja_JP.html
初等家庭科概説　第2ターム、小（教・国・英）・副2年以上,第2,月5,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24012_ja_JP.html
初等家庭科概説　第2ターム、小（社・音・図・体）・副2年以上,第2,月5,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24013_ja_JP.html
初等英語科概説　第2ターム、小（心・算・理・も・家）・特・副2年以上,第2,月5,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28003_ja_JP.html
生産管理論　第２ターム,第2,月5,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04106_ja_JP.html
演習Ⅱ　第２ターム,第2,月5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07231_ja_JP.html
演習Ⅱ　第２ターム,第2,月5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07233_ja_JP.html
演習Ⅴ　第２ターム,第2,月5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07531_ja_JP.html
演習Ⅴ　第２ターム,第2,月5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07533_ja_JP.html
情報基礎　(機械）,第2,月5,"情報メディア端末室(3), 情報メディア端末室(4)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_TX67109_ja_JP.html
日本史概説Ａ,第2,火1,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31081_ja_JP.html
ICT活用の理論と実践　第2ターム、初回授業は金1、小教・特,第2,火1,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44062_ja_JP.html
ICT活用の理論と実践　第2ターム、初回授業は金1、小（音・図・体）・中（音・美・体）,第2,火1,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44063_ja_JP.html
国際マーケティング論　第２ターム,第2,火1,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03106_ja_JP.html
機械運動学　火１・木１の週２回授業,第2,火1,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71300_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S01　第2ターム,第2,火1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12164_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S02　第2ターム,第2,火1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12165_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S03　第2ターム,第2,火1,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12166_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S04　第2ターム,第2,火1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12167_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S05　第2ターム,第2,火1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12168_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S06　第2ターム,第2,火1,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12169_ja_JP.html
英語Ⅱ(Academic English Skills 2b)　AES 工S07+再履生　第2ターム,第2,火1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12170_ja_JP.html
英語Ⅰ(Academic Essay Writing 1b)　AEW 第2ターム　火１・木１,第2,火1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11653_ja_JP.html
英語Ⅱ(English for Specific Purposes 2b)　ESP 第2ターム　火１・木１,第2,火1,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12451_ja_JP.html
日本語Ⅱa(聴解),第2,火1,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28212_ja_JP.html
市民と憲法　第２ターム 火１・木１,第2,火1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ202113_ja_JP.html
工学と社会（情報系）　第２ターム 火１・木１,第2,火1,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302311_ja_JP.html
工学と社会（応用化学系）　第２ターム 火１・木１,第2,火1,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302411_ja_JP.html
英語Ⅱ(Academic Communication Skills 2b)　ACS 第2ターム　火１・金１,第2,火1,全学講義棟 2-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12551_ja_JP.html
日本語C(聴解・会話) b,第2,火1,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200203_ja_JP.html
日本語D(聴解・会話) b,第2,火1,全学講義棟 2-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200206_ja_JP.html
日本語E(文法) b,第2,火1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200210_ja_JP.html
日本語B(総合) b,第2,火1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200202_ja_JP.html
日本語A(総合) b,第2,火1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200201_ja_JP.html
核物理学特論Ⅵ,第2,火1,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240201/240201_MM21180_ja_JP.html
Japanese Language-B(Summer Program),第2,火1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0003_ja_JP.html
Japanese Language-A(Summer Program),第2,火1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/S3/S3_SL0005_ja_JP.html
国際マーケティング論　第２ターム,第2,火2,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03106_ja_JP.html
メカトロニクスシステム　火２・木２の週２回授業,第2,火2,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71220_ja_JP.html
